,12,24,36,60,84,120,180,240,300,348
0,0.556,0.476,0.508,0.492,0.476,0.492,0.556,0.524,0.508,0.492
1,0.587,0.667,0.714,0.683,0.651,0.698,0.587,0.603,0.635,0.635
2,0.556,0.603,0.571,0.556,0.556,0.587,0.571,0.603,0.587,0.556
3,0.635,0.667,0.651,0.603,0.587,0.556,0.651,0.635,0.603,0.619
4,0.603,0.603,0.714,0.73,0.746,0.762,0.683,0.698,0.683,0.651
5,0.587,0.603,0.603,0.635,0.667,0.667,0.683,0.683,0.683,0.667
6,0.54,0.651,0.635,0.587,0.619,0.651,0.619,0.619,0.619,0.635
7,0.571,0.683,0.667,0.603,0.603,0.651,0.635,0.683,0.683,0.667
8,0.603,0.635,0.635,0.651,0.619,0.667,0.667,0.635,0.587,0.603
9,0.492,0.54,0.556,0.571,0.603,0.54,0.571,0.571,0.54,0.524
10,0.603,0.556,0.571,0.603,0.651,0.619,0.619,0.651,0.635,0.619
11,0.619,0.524,0.556,0.603,0.603,0.619,0.635,0.619,0.571,0.571
12,0.603,0.619,0.571,0.587,0.587,0.667,0.714,0.683,0.603,0.587
13,0.571,0.54,0.556,0.635,0.635,0.619,0.603,0.619,0.651,0.651
14,0.508,0.508,0.524,0.476,0.46,0.508,0.587,0.571,0.587,0.603
15,0.524,0.651,0.698,0.635,0.635,0.667,0.651,0.635,0.635,0.635
16,0.635,0.587,0.603,0.587,0.587,0.603,0.556,0.54,0.524,0.508
17,0.619,0.619,0.635,0.667,0.667,0.651,0.635,0.651,0.651,0.667
18,0.619,0.556,0.524,0.54,0.571,0.571,0.587,0.603,0.587,0.556
19,0.556,0.587,0.603,0.619,0.603,0.619,0.619,0.603,0.635,0.635
20,0.635,0.635,0.571,0.587,0.603,0.635,0.635,0.635,0.667,0.667
21,0.619,0.587,0.603,0.571,0.603,0.683,0.683,0.603,0.556,0.54
22,0.556,0.603,0.587,0.603,0.556,0.571,0.603,0.556,0.571,0.587
23,0.603,0.556,0.603,0.683,0.683,0.714,0.651,0.635,0.619,0.619
24,0.571,0.571,0.635,0.683,0.714,0.698,0.619,0.619,0.571,0.571
25,0.556,0.667,0.619,0.635,0.683,0.619,0.619,0.603,0.524,0.524
26,0.603,0.571,0.524,0.54,0.556,0.571,0.619,0.587,0.587,0.587
27,0.54,0.556,0.619,0.587,0.587,0.619,0.571,0.556,0.54,0.556
28,0.571,0.619,0.603,0.603,0.571,0.619,0.651,0.667,0.587,0.587
29,0.619,0.635,0.683,0.667,0.667,0.762,0.698,0.698,0.683,0.667
30,0.587,0.651,0.603,0.603,0.603,0.571,0.556,0.603,0.587,0.587
31,0.556,0.619,0.603,0.667,0.698,0.683,0.556,0.571,0.587,0.587
32,0.54,0.571,0.524,0.587,0.587,0.603,0.571,0.603,0.619,0.587
33,0.603,0.619,0.603,0.571,0.571,0.571,0.619,0.603,0.587,0.587
34,0.556,0.635,0.619,0.619,0.587,0.603,0.571,0.619,0.603,0.603
35,0.619,0.651,0.635,0.603,0.571,0.635,0.635,0.667,0.683,0.667
36,0.619,0.698,0.698,0.635,0.635,0.698,0.73,0.714,0.667,0.683
37,0.492,0.46,0.524,0.603,0.556,0.54,0.587,0.524,0.508,0.508
38,0.619,0.714,0.73,0.73,0.651,0.667,0.698,0.651,0.635,0.603
39,0.571,0.524,0.524,0.54,0.571,0.603,0.556,0.524,0.54,0.54
40,0.54,0.667,0.635,0.603,0.603,0.667,0.698,0.651,0.619,0.651
41,0.508,0.524,0.571,0.603,0.587,0.619,0.556,0.556,0.571,0.571
42,0.54,0.571,0.603,0.603,0.619,0.651,0.667,0.651,0.619,0.635
43,0.587,0.667,0.667,0.571,0.571,0.54,0.571,0.587,0.603,0.635
44,0.508,0.54,0.556,0.603,0.603,0.603,0.603,0.587,0.603,0.603
45,0.651,0.508,0.54,0.524,0.571,0.556,0.571,0.492,0.54,0.524
46,0.635,0.524,0.508,0.571,0.571,0.587,0.603,0.619,0.556,0.54
47,0.794,0.635,0.619,0.587,0.571,0.619,0.651,0.651,0.587,0.571
