,12,24,36,60,84,120,180,240,300,348
0,0.556,0.508,0.492,0.492,0.508,0.508,0.587,0.524,0.46,0.492
1,0.603,0.651,0.667,0.603,0.603,0.683,0.587,0.619,0.619,0.619
2,0.587,0.571,0.587,0.556,0.556,0.571,0.619,0.619,0.571,0.556
3,0.556,0.698,0.619,0.619,0.556,0.571,0.651,0.651,0.571,0.587
4,0.571,0.651,0.683,0.73,0.746,0.762,0.683,0.698,0.714,0.698
5,0.603,0.587,0.571,0.651,0.651,0.698,0.683,0.667,0.667,0.651
6,0.54,0.603,0.603,0.587,0.603,0.635,0.603,0.587,0.619,0.603
7,0.556,0.651,0.667,0.587,0.587,0.619,0.619,0.683,0.667,0.635
8,0.587,0.651,0.619,0.651,0.635,0.635,0.651,0.619,0.587,0.571
9,0.46,0.556,0.556,0.587,0.603,0.524,0.571,0.556,0.524,0.54
10,0.603,0.556,0.571,0.571,0.651,0.651,0.619,0.619,0.635,0.603
11,0.651,0.635,0.603,0.571,0.571,0.556,0.603,0.603,0.556,0.556
12,0.619,0.619,0.619,0.603,0.587,0.667,0.714,0.683,0.587,0.587
13,0.571,0.54,0.571,0.635,0.651,0.651,0.667,0.651,0.651,0.635
14,0.492,0.492,0.508,0.444,0.476,0.492,0.571,0.587,0.635,0.635
15,0.524,0.635,0.714,0.651,0.651,0.667,0.603,0.619,0.635,0.635
16,0.635,0.54,0.571,0.556,0.571,0.619,0.587,0.571,0.524,0.524
17,0.603,0.619,0.651,0.651,0.603,0.683,0.635,0.619,0.635,0.635
18,0.651,0.556,0.54,0.54,0.571,0.571,0.587,0.619,0.571,0.524
19,0.54,0.603,0.587,0.619,0.603,0.619,0.619,0.587,0.635,0.603
20,0.603,0.635,0.587,0.587,0.587,0.635,0.635,0.635,0.667,0.667
21,0.619,0.619,0.603,0.571,0.571,0.667,0.714,0.587,0.556,0.556
22,0.571,0.635,0.635,0.619,0.619,0.556,0.587,0.556,0.587,0.603
23,0.587,0.556,0.571,0.698,0.683,0.698,0.667,0.651,0.651,0.635
24,0.524,0.603,0.635,0.683,0.698,0.698,0.635,0.635,0.587,0.587
25,0.571,0.619,0.619,0.651,0.667,0.651,0.603,0.587,0.524,0.508
26,0.651,0.524,0.54,0.524,0.54,0.603,0.619,0.587,0.571,0.571
27,0.508,0.571,0.603,0.556,0.587,0.603,0.587,0.556,0.571,0.556
28,0.571,0.635,0.603,0.603,0.603,0.603,0.635,0.651,0.587,0.587
29,0.635,0.619,0.667,0.683,0.698,0.778,0.698,0.746,0.698,0.683
30,0.571,0.619,0.603,0.571,0.524,0.571,0.54,0.571,0.571,0.571
31,0.587,0.619,0.635,0.698,0.746,0.73,0.619,0.571,0.571,0.587
32,0.603,0.603,0.54,0.571,0.571,0.571,0.571,0.587,0.571,0.556
33,0.635,0.587,0.619,0.587,0.571,0.603,0.619,0.635,0.603,0.603
34,0.54,0.587,0.587,0.587,0.619,0.619,0.587,0.619,0.635,0.603
35,0.587,0.603,0.683,0.587,0.556,0.651,0.683,0.683,0.683,0.683
36,0.571,0.73,0.698,0.619,0.651,0.683,0.746,0.698,0.667,0.683
37,0.508,0.476,0.508,0.587,0.556,0.556,0.524,0.492,0.492,0.492
38,0.603,0.73,0.698,0.667,0.651,0.667,0.698,0.651,0.651,0.651
39,0.54,0.556,0.556,0.556,0.603,0.587,0.603,0.571,0.556,0.556
40,0.571,0.667,0.635,0.587,0.619,0.651,0.698,0.651,0.635,0.635
