,level,fly,bf
227,0.603,0.603,0.587
228,0.556,0.651,0.381
229,0.603,0.571,0.46
230,0.635,0.556,0.429
231,0.556,0.508,0.413
232,0.571,0.571,0.413
233,0.54,0.524,0.444
234,0.619,0.524,0.444
235,0.603,0.556,0.429
236,0.651,0.556,0.492
237,0.571,0.571,0.492
238,0.571,0.444,0.476
239,0.651,0.556,0.492
240,0.571,0.556,0.46
241,0.635,0.556,0.492
242,0.714,0.635,0.476
243,0.683,0.635,0.413
244,0.619,0.524,0.444
245,0.571,0.635,0.54
246,0.619,0.635,0.476
247,0.556,0.603,0.492
248,0.587,0.651,0.349
249,0.603,0.619,0.429
250,0.651,0.54,0.46
251,0.587,0.619,0.476
252,0.619,0.667,0.492
253,0.54,0.46,0.444
254,0.651,0.603,0.54
255,0.619,0.683,0.476
256,0.508,0.476,0.492
257,0.635,0.635,0.413
258,0.556,0.619,0.524
259,0.54,0.587,0.429
260,0.651,0.619,0.444
261,0.635,0.571,0.476
262,0.619,0.587,0.365
263,0.635,0.556,0.365
264,0.571,0.587,0.476
265,0.619,0.619,0.397
266,0.651,0.524,0.413
267,0.603,0.556,0.429
268,0.635,0.587,0.413
269,0.556,0.508,0.444
270,0.587,0.619,0.476
271,0.619,0.556,0.476
272,0.651,0.571,0.524
273,0.746,0.714,0.492
274,0.54,0.603,0.444
275,0.556,0.508,0.444
276,0.667,0.619,0.397
277,0.619,0.556,0.54
278,0.714,0.587,0.492
279,0.603,0.651,0.444
280,0.746,0.603,0.492
281,0.619,0.619,0.381
282,0.603,0.667,0.444
283,0.587,0.508,0.444
284,0.698,0.492,0.492
285,0.619,0.556,0.444
286,0.524,0.651,0.381
287,0.635,0.524,0.54
288,0.698,0.635,0.508
289,0.571,0.524,0.444
290,0.603,0.46,0.397
291,0.667,0.698,0.413
292,0.556,0.524,0.413
293,0.651,0.46,0.429
294,0.667,0.587,0.508
295,0.571,0.73,0.492
296,0.619,0.635,0.46
297,0.667,0.651,0.556
298,0.508,0.651,0.54
299,0.556,0.619,0.444
300,0.603,0.476,0.444
301,0.635,0.476,0.333
302,0.683,0.476,0.476
303,0.571,0.556,0.397
304,0.651,0.619,0.46
305,0.651,0.603,0.444
306,0.635,0.571,0.46
307,0.667,0.667,0.476
308,0.571,0.651,0.476
309,0.635,0.556,0.349
310,0.603,0.556,0.46
311,0.698,0.651,0.444
312,0.587,0.667,0.46
313,0.603,0.54,0.508
314,0.619,0.556,0.492
315,0.667,0.556,0.429
316,0.587,0.635,0.413
317,0.476,0.587,0.492
318,0.635,0.556,0.492
319,0.603,0.54,0.429
320,0.746,0.587,0.429
321,0.698,0.603,0.492
322,0.651,0.556,0.492
323,0.603,0.524,0.444
324,0.698,0.587,0.476
325,0.571,0.683,0.444
326,0.651,0.667,0.508
327,0.571,0.587,0.429
328,0.667,0.635,0.444
329,0.683,0.476,0.508
330,0.603,0.603,0.349
331,0.651,0.651,0.492
332,0.651,0.524,0.524
333,0.603,0.556,0.444
334,0.603,0.587,0.46
335,0.635,0.603,0.476
336,0.603,0.667,0.46
337,0.619,0.571,0.476
338,0.635,0.556,0.429
339,0.587,0.524,0.46
340,0.635,0.54,0.46
341,0.492,0.524,0.444
342,0.603,0.667,0.429
343,0.556,0.524,0.54
344,0.587,0.603,0.476
345,0.619,0.508,0.524
346,0.635,0.54,0.476
347,0.603,0.571,0.492
348,0.587,0.603,0.508
349,0.619,0.524,0.476
350,0.603,0.571,0.571
351,0.619,0.587,0.476
352,0.698,0.603,0.46
353,0.698,0.571,0.508
354,0.492,0.587,0.365
355,0.524,0.54,0.429
356,0.587,0.603,0.492
357,0.603,0.603,0.54
358,0.667,0.651,0.444
359,0.714,0.603,0.476
360,0.746,0.651,0.492
361,0.476,0.54,0.492
362,0.667,0.603,0.476
363,0.714,0.54,0.444
364,0.603,0.587,0.492
365,0.683,0.762,0.476
366,0.651,0.556,0.444
367,0.651,0.476,0.349
368,0.778,0.603,0.413
369,0.635,0.508,0.365
370,0.683,0.54,0.54
371,0.587,0.54,0.397
372,0.683,0.524,0.444
373,0.571,0.556,0.397
374,0.603,0.556,0.381
375,0.698,0.524,0.444
376,0.683,0.619,0.444
377,0.619,0.476,0.46
378,0.619,0.54,0.429
379,0.667,0.635,0.603
380,0.54,0.587,0.429
381,0.571,0.524,0.397
382,0.683,0.556,0.476
383,0.571,0.54,0.429
384,0.603,0.54,0.46
385,0.571,0.556,0.429
386,0.635,0.524,0.46
387,0.635,0.571,0.492
388,0.683,0.603,0.492
389,0.619,0.556,0.476
390,0.587,0.651,0.492
391,0.746,0.571,0.508
392,0.603,0.508,0.508
393,0.698,0.714,0.444
394,0.619,0.54,0.46
395,0.54,0.556,0.381
396,0.635,0.587,0.46
397,0.698,0.619,0.381
398,0.492,0.603,0.476
399,0.683,0.571,0.524
400,0.635,0.587,0.46
401,0.635,0.587,0.476
402,0.651,0.683,0.492
403,0.571,0.571,0.524
404,0.635,0.492,0.476
405,0.603,0.635,0.46
406,0.635,0.556,0.492
407,0.651,0.571,0.619
408,0.667,0.54,0.524
409,0.556,0.571,0.429
410,0.714,0.46,0.46
411,0.73,0.571,0.46
412,0.635,0.54,0.508
413,0.603,0.619,0.476
414,0.587,0.476,0.444
415,0.571,0.508,0.508
416,0.603,0.556,0.397
417,0.635,0.508,0.476
418,0.571,0.556,0.381
419,0.603,0.508,0.508
420,0.603,0.651,0.508
421,0.556,0.571,0.46
422,0.524,0.556,0.444
423,0.603,0.524,0.46
424,0.635,0.524,0.476
425,0.556,0.714,0.444
426,0.667,0.571,0.508
427,0.667,0.635,0.444
428,0.571,0.476,0.46
429,0.683,0.619,0.492
430,0.698,0.635,0.397
431,0.619,0.556,0.381
432,0.698,0.587,0.444
433,0.603,0.54,0.444
434,0.603,0.571,0.476
435,0.667,0.587,0.476
436,0.667,0.683,0.54
437,0.492,0.571,0.54
438,0.571,0.603,0.46
439,0.571,0.667,0.492
440,0.476,0.619,0.476
441,0.524,0.587,0.508
442,0.587,0.571,0.444
443,0.635,0.603,0.429
444,0.492,0.635,0.444
445,0.762,0.508,0.476
446,0.635,0.508,0.413
447,0.667,0.619,0.413
448,0.635,0.635,0.46
449,0.667,0.683,0.46
450,0.587,0.54,0.492
451,0.556,0.571,0.413
452,0.651,0.571,0.444
453,0.635,0.524,0.524
454,0.603,0.651,0.444
455,0.635,0.556,0.476
456,0.508,0.556,0.444
457,0.635,0.556,0.413
458,0.603,0.587,0.476
459,0.571,0.619,0.492
460,0.698,0.444,0.524
461,0.635,0.54,0.444
462,0.603,0.587,0.476
463,0.54,0.508,0.333
464,0.492,0.508,0.46
465,0.651,0.635,0.413
466,0.556,0.603,0.508
467,0.603,0.587,0.46
468,0.603,0.571,0.429
469,0.683,0.492,0.429
470,0.619,0.587,0.413
471,0.587,0.619,0.397
472,0.698,0.46,0.46
473,0.556,0.508,0.397
474,0.603,0.54,0.444
475,0.651,0.667,0.492
476,0.619,0.587,0.413
477,0.667,0.619,0.492
478,0.651,0.651,0.524
479,0.587,0.556,0.508
480,0.619,0.571,0.46
481,0.524,0.508,0.444
482,0.492,0.54,0.476
483,0.603,0.524,0.413
484,0.667,0.683,0.492
485,0.571,0.524,0.429
486,0.667,0.556,0.476
487,0.603,0.571,0.429
488,0.587,0.571,0.46
489,0.651,0.619,0.444
490,0.667,0.587,0.508
491,0.619,0.651,0.524
492,0.508,0.619,0.444
493,0.571,0.571,0.508
494,0.651,0.619,0.587
495,0.556,0.492,0.524
496,0.651,0.635,0.46
497,0.635,0.492,0.46
