,level,fly,bf
227,0.587,0.587,0.587
228,0.587,0.603,0.492
229,0.587,0.571,0.508
230,0.635,0.603,0.46
231,0.556,0.508,0.397
232,0.587,0.587,0.46
233,0.571,0.524,0.492
234,0.603,0.556,0.492
235,0.587,0.54,0.413
236,0.667,0.524,0.476
237,0.619,0.587,0.508
238,0.571,0.54,0.492
239,0.651,0.54,0.46
240,0.556,0.571,0.46
241,0.651,0.587,0.476
242,0.714,0.635,0.476
243,0.698,0.651,0.413
244,0.603,0.492,0.444
245,0.587,0.651,0.587
246,0.635,0.698,0.476
247,0.571,0.587,0.508
248,0.619,0.651,0.317
249,0.587,0.603,0.413
250,0.667,0.54,0.476
251,0.587,0.603,0.46
252,0.603,0.667,0.492
253,0.54,0.429,0.381
254,0.667,0.635,0.46
255,0.651,0.587,0.524
256,0.508,0.587,0.508
257,0.635,0.635,0.397
258,0.556,0.556,0.476
259,0.54,0.587,0.413
260,0.651,0.571,0.429
261,0.667,0.635,0.476
262,0.635,0.603,0.429
263,0.603,0.54,0.397
264,0.603,0.587,0.476
265,0.619,0.587,0.429
266,0.667,0.571,0.476
267,0.603,0.587,0.429
268,0.635,0.587,0.444
269,0.556,0.556,0.476
270,0.635,0.698,0.524
271,0.635,0.524,0.492
272,0.619,0.587,0.476
273,0.762,0.762,0.476
274,0.54,0.603,0.397
275,0.54,0.492,0.444
276,0.683,0.635,0.381
277,0.603,0.603,0.524
278,0.698,0.587,0.571
279,0.635,0.635,0.46
280,0.746,0.619,0.524
281,0.587,0.635,0.381
282,0.587,0.651,0.492
283,0.587,0.508,0.444
284,0.683,0.492,0.476
285,0.603,0.587,0.476
286,0.571,0.651,0.381
287,0.587,0.556,0.556
288,0.73,0.651,0.587
289,0.603,0.619,0.46
290,0.571,0.46,0.397
291,0.667,0.778,0.429
292,0.571,0.571,0.413
293,0.651,0.429,0.413
294,0.619,0.571,0.54
295,0.571,0.619,0.492
296,0.651,0.683,0.492
297,0.651,0.667,0.556
298,0.54,0.619,0.524
299,0.571,0.619,0.492
300,0.635,0.508,0.476
301,0.619,0.571,0.333
302,0.714,0.524,0.492
303,0.587,0.571,0.444
304,0.651,0.587,0.492
305,0.683,0.587,0.46
306,0.635,0.571,0.46
307,0.683,0.698,0.492
308,0.556,0.556,0.444
309,0.619,0.54,0.365
310,0.619,0.651,0.524
311,0.73,0.73,0.508
312,0.603,0.667,0.54
313,0.587,0.556,0.508
314,0.635,0.524,0.508
315,0.651,0.603,0.46
316,0.619,0.651,0.46
317,0.476,0.603,0.508
318,0.651,0.556,0.571
319,0.619,0.556,0.46
320,0.746,0.603,0.54
321,0.698,0.571,0.524
322,0.651,0.556,0.46
323,0.635,0.619,0.444
324,0.683,0.571,0.524
325,0.587,0.603,0.476
326,0.698,0.683,0.492
327,0.524,0.714,0.429
328,0.683,0.667,0.46
329,0.683,0.508,0.508
330,0.619,0.635,0.381
331,0.651,0.635,0.476
332,0.667,0.571,0.524
333,0.571,0.54,0.46
334,0.635,0.603,0.476
335,0.651,0.603,0.508
336,0.619,0.619,0.508
337,0.651,0.524,0.508
338,0.619,0.571,0.476
339,0.603,0.508,0.508
340,0.635,0.54,0.492
341,0.476,0.524,0.492
342,0.603,0.651,0.46
343,0.603,0.603,0.524
344,0.603,0.603,0.476
345,0.619,0.587,0.556
346,0.651,0.492,0.46
347,0.619,0.587,0.524
348,0.571,0.571,0.492
349,0.603,0.587,0.492
350,0.571,0.556,0.508
351,0.651,0.603,0.429
352,0.698,0.603,0.46
353,0.683,0.619,0.508
354,0.508,0.571,0.365
355,0.524,0.587,0.429
356,0.619,0.603,0.492
357,0.587,0.556,0.524
358,0.683,0.603,0.46
359,0.714,0.619,0.508
360,0.73,0.635,0.508
361,0.492,0.524,0.524
362,0.683,0.619,0.46
363,0.683,0.556,0.444
364,0.619,0.619,0.46
365,0.667,0.714,0.492
366,0.635,0.571,0.476
367,0.651,0.524,0.349
368,0.73,0.571,0.429
369,0.619,0.524,0.381
370,0.667,0.492,0.571
371,0.524,0.46,0.413
372,0.683,0.524,0.46
373,0.571,0.556,0.397
374,0.603,0.54,0.444
375,0.698,0.556,0.413
376,0.698,0.619,0.413
377,0.635,0.492,0.492
378,0.619,0.571,0.46
379,0.635,0.667,0.587
380,0.571,0.587,0.429
381,0.571,0.571,0.429
382,0.651,0.587,0.524
383,0.587,0.508,0.429
384,0.619,0.556,0.492
385,0.603,0.571,0.444
386,0.635,0.508,0.492
387,0.619,0.635,0.492
388,0.683,0.603,0.508
389,0.651,0.571,0.444
390,0.587,0.667,0.492
391,0.746,0.635,0.492
392,0.603,0.556,0.46
393,0.683,0.667,0.476
394,0.619,0.603,0.492
395,0.571,0.524,0.429
396,0.635,0.571,0.444
397,0.683,0.651,0.429
398,0.508,0.492,0.46
399,0.683,0.556,0.524
